"country","year","lifeExp","pop","gdpPercap","ISO.alpha3.Code","Region","Continent"
"Afghanistan",1982,39.854,12881816,978.0114388,"AFG","Southern Asia","Asia"
"Afghanistan",2002,42.129,25268405,726.7340548,"AFG","Southern Asia","Asia"
"Afghanistan",1987,40.822,13867957,852.3959448,"AFG","Southern Asia","Asia"
"Afghanistan",1997,41.763,22227415,635.341351,"AFG","Southern Asia","Asia"
"Afghanistan",1992,41.674,16317921,649.3413952,"AFG","Southern Asia","Asia"
"Afghanistan",1962,31.997,10267083,853.10071,"AFG","Southern Asia","Asia"
"Afghanistan",2007,43.828,31889923,974.5803384,"AFG","Southern Asia","Asia"
"Afghanistan",1957,30.332,9240934,820.8530296,"AFG","Southern Asia","Asia"
"Afghanistan",1967,34.02,11537966,836.1971382,"AFG","Southern Asia","Asia"
"Afghanistan",1952,28.801,8425333,779.4453145,"AFG","Southern Asia","Asia"
"Afghanistan",1977,38.438,14880372,786.11336,"AFG","Southern Asia","Asia"
"Afghanistan",1972,36.088,13079460,739.9811058,"AFG","Southern Asia","Asia"
"Albania",1972,67.69,2263554,3313.422188,"ALB","Southern Europe","Europe"
"Albania",1962,64.82,1728137,2312.888958,"ALB","Southern Europe","Europe"
"Albania",1952,55.23,1282697,1601.056136,"ALB","Southern Europe","Europe"
"Albania",1957,59.28,1476505,1942.284244,"ALB","Southern Europe","Europe"
"Albania",2002,75.651,3508512,4604.211737,"ALB","Southern Europe","Europe"
"Albania",1987,72,3075321,3738.932735,"ALB","Southern Europe","Europe"
"Albania",1977,68.93,2509048,3533.00391,"ALB","Southern Europe","Europe"
"Albania",1967,66.22,1984060,2760.196931,"ALB","Southern Europe","Europe"
"Albania",1992,71.581,3326498,2497.437901,"ALB","Southern Europe","Europe"
"Albania",2007,76.423,3600523,5937.029526,"ALB","Southern Europe","Europe"
"Albania",1997,72.95,3428038,3193.054604,"ALB","Southern Europe","Europe"
"Albania",1982,70.42,2780097,3630.880722,"ALB","Southern Europe","Europe"
"Algeria",1982,61.368,20033753,5745.160213,"DZA","Northern Africa","Africa"
"Algeria",1997,69.152,29072015,4797.295051,"DZA","Northern Africa","Africa"
"Algeria",2002,70.994,31287142,5288.040382,"DZA","Northern Africa","Africa"
"Algeria",1957,45.685,10270856,3013.976023,"DZA","Northern Africa","Africa"
"Algeria",1977,58.014,17152804,4910.416756,"DZA","Northern Africa","Africa"
"Algeria",1967,51.407,12760499,3246.991771,"DZA","Northern Africa","Africa"
"Algeria",1962,48.303,11000948,2550.81688,"DZA","Northern Africa","Africa"
"Algeria",1972,54.518,14760787,4182.663766,"DZA","Northern Africa","Africa"
"Algeria",1992,67.744,26298373,5023.216647,"DZA","Northern Africa","Africa"
"Algeria",2007,72.301,33333216,6223.367465,"DZA","Northern Africa","Africa"
"Algeria",1987,65.799,23254956,5681.358539,"DZA","Northern Africa","Africa"
"Algeria",1952,43.077,9279525,2449.008185,"DZA","Northern Africa","Africa"
"Angola",1952,30.015,4232095,3520.610273,"AGO","Middle Africa","Africa"
"Angola",2007,42.731,12420476,4797.231267,"AGO","Middle Africa","Africa"
"Angola",1987,39.906,7874230,2430.208311,"AGO","Middle Africa","Africa"
"Angola",1982,39.942,7016384,2756.953672,"AGO","Middle Africa","Africa"
"Angola",1977,39.483,6162675,3008.647355,"AGO","Middle Africa","Africa"
"Angola",1972,37.928,5894858,5473.288005,"AGO","Middle Africa","Africa"
"Angola",1997,40.963,9875024,2277.140884,"AGO","Middle Africa","Africa"
"Angola",1992,40.647,8735988,2627.845685,"AGO","Middle Africa","Africa"
"Angola",2002,41.003,10866106,2773.287312,"AGO","Middle Africa","Africa"
"Angola",1957,31.999,4561361,3827.940465,"AGO","Middle Africa","Africa"
"Angola",1967,35.985,5247469,5522.776375,"AGO","Middle Africa","Africa"
"Angola",1962,34,4826015,4269.276742,"AGO","Middle Africa","Africa"
"Argentina",1982,69.942,29341374,8997.897412,"ARG","South America","South America"
"Argentina",1967,65.634,22934225,8052.953021,"ARG","South America","South America"
"Argentina",1957,64.399,19610538,6856.856212,"ARG","South America","South America"
"Argentina",1962,65.142,21283783,7133.166023,"ARG","South America","South America"
"Argentina",1972,67.065,24779799,9443.038526,"ARG","South America","South America"
